year,group,theme,placement,song_title,song_artist,kaggle_track_name,kaggle_artist_name,kaggle_genre,kaggle_danceability,kaggle_energy,kaggle_valence,kaggle_tempo,kaggle_acousticness,kaggle_loudness,kaggle_popularity,kaggle_year,match_score
2023,Beta Theta Pi,Man Or Mathlete,Participated,Man or a Muppet,Muppets Cast,,,,,,,,,,,,
2023,Beta Theta Pi,Man Or Mathlete,Participated,Want U Back,Cher Lloyd,Want U Back,Cher Lloyd,dance,0.694,0.891,0.563,97.939,0.0562,-2.94,62.0,2012.0,100.0
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,Somethings Got a Hold on Me,Christina Aguilera,Something's Got A Hold On Me,Etta James,blues,0.458,0.566,0.569,150.315,0.7,-6.382,31.0,2021.0,74.2
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,Sharp Dressed Man,ZZ Top,Sharp Dressed Man,ZZ Top,blues,0.683,0.645,0.391,126.666,0.024,-12.32,26.0,2014.0,100.0
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,"Oh, Pretty Woman",Roy Orbison,"Oh, Pretty Woman",Roy Orbison,rock-n-roll,0.66,0.568,0.759,126.631,0.183,-7.827,16.0,2014.0,100.0
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,Johnny B. Goode,Chuck Berry,Johnny B. Goode,Chuck Berry,blues,0.545,0.877,0.97,167.691,0.756,-6.105,37.0,2013.0,100.0
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,Come on Eileen,Dexys Midnight Runners,Come On Eileen - Single Edit,Dexys Midnight Runners,pop,0.41,0.874,0.824,107.08,0.197,-4.286,61.0,2009.0,84.8
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,24K Magic,Bruno Mars,24K Magic,Bruno Mars,dance,0.818,0.803,0.632,106.97,0.034,-4.282,77.0,2016.0,100.0
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,Rockin’ on Top of the World,Steven Tyler,Rockin' on Top of the World,Steven Tyler,country,0.559,0.909,0.742,115.107,0.0618,-3.937,36.0,2004.0,97.6
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,Real Gone,Sheryl Crow,Real Gone,Sheryl Crow,pop,0.608,0.785,0.806,117.983,0.00173,-5.346,67.0,2006.0,100.0
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,R.O.C.K. in the USA,John Mellencamp,Rural Route,John Mellencamp,singer-songwriter,0.467,0.372,0.322,91.367,0.735,-8.783,7.0,2007.0,75.8
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,DAnger Zone,Kenny Loggins,Undying,Danger Zone,heavy-metal,0.567,0.853,0.5,107.978,0.000391,-3.001,1.0,2022.0,75.0
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,Rolling in the Deep,Adele,Rolling in the Deep,Adele,pop,0.73,0.769,0.507,104.948,0.138,-5.114,79.0,2011.0,100.0
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,Don't Stop Me Now,Queen,Don't Quit Me Now,Savoy,dub,0.575,0.888,0.253,87.483,0.00172,-3.579,27.0,2018.0,80.0
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,Good to be Alive (Hallelujah),Andy Grammar,Good To Be Alive (Hallelujah),Andy Grammer,pop,0.797,0.896,0.685,120.037,0.0349,-3.678,57.0,2015.0,97.7
2023,Delta Tau Delta,Under the Big Top,Participated,Jungle,X Ambassadors,Jungle,X Ambassadors,alt-rock,0.389,0.748,0.216,78.056,0.000821,-4.461,58.0,2015.0,100.0
2023,Delta Tau Delta,Under the Big Top,Participated,Circus,Britney Spears,Circus,Britney Spears,dance,0.791,0.733,0.761,114.98,0.147,-5.215,73.0,2008.0,100.0
2023,Delta Tau Delta,Under the Big Top,Participated,Entrance of the Gladiators,Julius Fučík,Look Is Deceiving,The Gladiators,dub,0.632,0.541,0.7,79.229,0.152,-7.592,35.0,2001.0,66.7
2023,Delta Tau Delta,Under the Big Top,Participated,Welcome to the Party,"Diplo, French Montana, Lil Pump","Welcome to the Party (with Lil Pump, Juicy J, Famous Dex, & French Montana) - Remix",Diplo,dance,0.693,0.893,0.515,171.971,0.0829,-0.257,52.0,2018.0,71.7
2023,Delta Tau Delta,Under the Big Top,Participated,Forget You,Cee Lo Green,Forget You,CeeLo Green,hip-hop,0.696,0.875,0.772,127.39,0.134,-3.682,63.0,2010.0,89.8
2023,Delta Tau Delta,Under the Big Top,Participated,Leave a Light On,Tom Walker,Leave a Light On,Tom Walker,folk,0.586,0.624,0.267,68.976,0.0153,-5.946,69.0,2017.0,100.0
2023,Delta Tau Delta,Under the Big Top,Participated,Rocket Man,Elton John,Rocket Man - Live,Elton John,piano,0.436,0.6,0.243,138.417,0.375,-8.027,35.0,2000.0,86.8
2023,Delta Tau Delta,Under the Big Top,Participated,Show Goes On,Lupe Fiasco,The Show Goes On,Lupe Fiasco,hip-hop,0.591,0.889,0.65,143.067,0.0189,-3.839,68.0,2011.0,92.9
2023,Kappa Alpha Theta,,Participated,Baba O-Riley,The Who,Baba O'Riley,The Who,blues,0.392,0.578,0.173,117.712,0.405,-12.972,25.0,2014.0,95.5
2023,Kappa Alpha Theta,,Participated,Ready or Not,The Delfonics,I'm Sorry,The Delfonics,funk,0.559,0.358,0.641,74.265,0.817,-9.544,18.0,2005.0,79.2
2023,Kappa Alpha Theta,,Participated,Everybody Wants to Rule the World,Tears for Fears,Everybody Wants To Rule The World,Tears For Fears,rock,0.641,0.931,0.508,111.989,0.304,-5.779,0.0,2023.0,100.0
2023,Kappa Alpha Theta,,Participated,Whatever it Takes,Imagine Dragons,Whatever It Takes,Imagine Dragons,rock,0.672,0.655,0.556,134.945,0.0362,-5.021,80.0,2017.0,100.0
2023,Kappa Alpha Theta,,Participated,Running Up That Hill,Kate Bush,Running Up That Hill,Placebo,alt-rock,0.45,0.357,0.0838,179.935,0.268,-13.691,64.0,2003.0,80.6
2023,Kappa Alpha Theta,,Participated,Sorry Not Sorry,Demi Lovato,Sorry Not Sorry,Demi Lovato,dance,0.706,0.643,0.885,143.931,0.0242,-6.929,74.0,2017.0,100.0
2023,Kappa Alpha Theta,,Participated,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd,pop,0.514,0.73,0.334,171.005,0.00146,-5.934,90.0,2020.0,100.0
2023,Kappa Alpha Theta,,Participated,Rather Be,Clean Bandit,Drive,Clean Bandit,edm,0.81,0.571,0.771,125.994,0.0624,-7.189,0.0,2023.0,77.3
