year,group_dir,palette_hex,palette_proportions,n_images,image_source,avg_hue,avg_saturation,avg_brightness
2008,2008_Kappa_Omega_Tau,#3E241A;#4A393A;#22333E;#612B1C;#775643;#333B7A;#9A7E6B;#196D70;#CEB399;#42D8D1,0.3124;0.1679;0.1267;0.1210;0.1019;0.0582;0.0494;0.0333;0.0247;0.0046,7,youtube,0.0224,0.4921,0.3452
2009,2009_Alpha_Tau_Omega,#3F271E;#252744;#583E33;#775B3C;#453866;#968466;#6E1F13;#4F6698;#C8BC9F;#BEB010,0.1805;0.1749;0.1623;0.1556;0.0922;0.0705;0.0559;0.0470;0.0430;0.0182,7,youtube,0.0037,0.4781,0.3976
2009,2009_Kappa_Omega_Tau,#363829;#454838;#63604A;#2A2641;#8F7B57;#3A3A65;#CD9E68;#54688E;#D8D1A6;#A39F89,0.3088;0.2137;0.1105;0.1023;0.0682;0.0668;0.0341;0.0337;0.0315;0.0304,7,youtube,0.1712,0.2984,0.3541
2009,2009_Sing_Alliance,#3D2B1E;#51463A;#212A45;#7F6547;#215A33;#A18C70;#773118;#1F377B;#4E6070;#D2C8AE,0.2375;0.1511;0.1448;0.1015;0.0938;0.0656;0.0655;0.0537;0.0503;0.0362,7,youtube,0.0933,0.4772,0.3775
2010,2010_Kappa_Omega_Tau,#3D361C;#2A6D40;#775829;#152352;#234288;#A3756A;#55BC7C;#C1AB26;#F7E065;#D42516,0.1688;0.1560;0.1544;0.1316;0.1106;0.1047;0.0841;0.0376;0.0366;0.0157,8,youtube,0.2248,0.6170,0.4863
2010,2010_Sing_Alliance,#3D2D1A;#3D3A37;#65533F;#5E3C25;#856D4F;#4D525C;#AC8D62;#D3B586;#F6E3B8;#D73C37,0.2190;0.1834;0.1659;0.1132;0.0971;0.0641;0.0508;0.0403;0.0380;0.0281,6,youtube,0.0835,0.3917,0.4055
2011,2011_Alpha_Tau_Omega,#24313D;#443431;#09193F;#3D4C61;#6B5250;#566C8C;#4C1418;#947376;#8A1F2E;#ADB6CB,0.3020;0.1473;0.1064;0.1048;0.0895;0.0792;0.0567;0.0506;0.0456;0.0180,8,youtube,0.6926,0.4392,0.3439
2011,2011_Chi_Omega_and_Phi_Kappa_Chi,#422324;#59473D;#1F2740;#7D5F55;#2F4667;#A18173;#DD3F40;#8F191D;#4376A1;#D8B9A1,0.2495;0.1999;0.1469;0.1136;0.0742;0.0654;0.0500;0.0407;0.0315;0.0282,7,youtube,0.9889,0.4461,0.4081
2011,2011_Delta_Delta_Delta,#373232;#3F1A17;#543E3E;#705452;#8B6D68;#43635B;#AE8E84;#6E1723;#649494;#B2D4E3,0.2127;0.1711;0.1665;0.1226;0.0955;0.0828;0.0483;0.0442;0.0399;0.0164,8,youtube,0.0128,0.3183,0.3708
2011,2011_Kappa_Alpha_Theta,#1C3927;#473523;#5D5F42;#828C63;#114168;#195D34;#3D6987;#5DA7D8;#0B94F6;#B2C493,0.2011;0.1642;0.1577;0.1022;0.0997;0.0851;0.0659;0.0533;0.0371;0.0338,8,youtube,0.3263,0.5196,0.4190
