Year,Group,Theme,Placement,Songs,YouTube_Link
2012,Kappa Kappa Gamma & Kappa Sigma,,1st,,https://www.youtube.com/watch?v=e-NBM3jhBn8
2012,Kappa Omega Tau,Standing Small,2nd,,https://www.youtube.com/watch?v=OpaAcPkePLI
2012,Phi Gamma Delta,,Pigskin,,https://www.youtube.com/watch?v=9VN77_Ejx3I
2012,Phi Kappa Chi,,Pigskin,,https://www.youtube.com/watch?v=_rXUGVQShtU
2012,Pi Beta Phi,,Pigskin,,https://www.youtube.com/watch?v=5mrufNSLfmI
2013,Alpha Tau Omega,,Pigskin,,
2013,Chi Omega & Phi Gamma Delta,,Pigskin,,https://www.youtube.com/watch?v=4laIgP334Gw
2013,Kappa Omega Tau,Ghosts Call,1st,,https://www.youtube.com/watch?v=rCeZDYldESw
2013,Kappa Sigma,United We Stand,1st (tie),,https://www.youtube.com/watch?v=begugKVS9-o
2013,Phi Kappa Chi,,3rd,,
2013,Pi Beta Phi,,Pigskin,,https://www.youtube.com/watch?v=dlZwPUEeQ-g
2013,Sing Alliance,,Pigskin,,https://www.youtube.com/watch?v=1CJUvkdInzU
2013,Zeta Tau Alpha,Old Familiar Places,Pigskin,,https://www.youtube.com/watch?v=elolIhvnC90
2014,Alpha Chi Omega,,Pigskin,,https://www.youtube.com/watch?v=XzUW3uGJlIY
2014,Alpha Tau Omega,,3rd,,
2014,Delta Delta Delta,Take Me to the Pyramids,2nd,,https://www.youtube.com/watch?v=wbdccHtFIY0
2014,Kappa Alpha Theta,,Pigskin,,https://www.youtube.com/watch?v=VbuYgSYmqgo
2014,Kappa Kappa Gamma,,Pigskin,,https://www.youtube.com/watch?v=uL1TPc2RlSo
2014,Kappa Omega Tau,The Battle Within,1st,,https://www.youtube.com/watch?v=rMSh9wd_u28
2014,Kappa Sigma,,Pigskin,,https://www.youtube.com/watch?v=3rt0JW_ePWI
2014,Pi Beta Phi & Phi Kappa Chi,,Pigskin,,https://www.youtube.com/watch?v=JJcU7tSVDVA
2015,Alpha Tau Omega,Into the Darkness,Pigskin,,https://www.youtube.com/watch?v=KVwyKEr2vVo
2015,Chi Omega,,Pigskin,,https://www.youtube.com/watch?v=8U0aTEik0Uc
2015,Delta Delta Delta,One Short Day,Pigskin,,https://www.youtube.com/watch?v=jR2YBYnN_lU
2015,Kappa Kappa Gamma,,Pigskin,,https://www.youtube.com/watch?v=6IfelmG_qB8
2015,Kappa Omega Tau,The Grand Hotel,2nd,,https://www.youtube.com/watch?v=Z2yfMnlnoqs
2015,Kappa Sigma,,Pigskin,,https://www.youtube.com/watch?v=k2wmAIyTgqE
2015,Phi Kappa Chi,Dust Bowl Days,1st,,https://www.youtube.com/watch?v=nRjHFQCsJio
2015,Pi Beta Phi,Back in the Habit,3rd,,https://www.youtube.com/watch?v=9tlg_moaJ9c
2016,Alpha Chi Omega,The Alpha Chi Coal Mining Company,Pigskin,,https://www.youtube.com/watch?v=OPGkg3lnqfA
2016,Alpha Delta Pi,Keep on Survivin',Participated,,https://www.youtube.com/watch?v=aCBuEW0Adys
2016,Alpha Tau Omega,The King of Promise,Participated,,
2016,Baylor Chamber of Commerce,Time for the Show,Participated,,
2016,Beta Theta Pi,Derailed,Participated,,
2016,Chi Omega,Lunch Lady Land,3rd,,https://www.youtube.com/watch?v=NVQjMvcvh5U
2016,Delta Delta Delta,Can You Dig It?,Pigskin,,https://www.youtube.com/watch?v=SNr4sV7lOmc
2016,Delta Tau Delta,Lost in the Jungle,Participated,Tarzan (Disney),
2016,Kappa Alpha Theta & Sigma Chi,"Sincerely Yours, Thetasig",Participated,,https://www.youtube.com/watch?v=5xBIQMS8GZ8
2016,Kappa Chi Alpha & Beta Upsilon Chi,Wonderful World,Participated,What a Wonderful World,
2016,Kappa Kappa Gamma & Kappa Sigma,Come Dance With Me,Pigskin,,https://www.youtube.com/watch?v=ChUw38yJtNY
2016,Kappa Omega Tau,Setting Sail,2nd,,https://www.youtube.com/watch?v=n2DQm5frdEM
2016,Phi Gamma Delta,The Dance of the Dead,Participated,Thriller (Michael Jackson),https://www.youtube.com/watch?v=SBASYTvaDFo
2016,Phi Kappa Chi,Workin' on a Building,Pigskin,,https://www.youtube.com/watch?v=aLn0XWq9c4g
2016,Pi Beta Phi,Meet Me in Ze Alps,1st,,https://www.youtube.com/watch?v=8UxRSiqn4IU
2016,Pi Kappa Phi,The Lost City,Participated,,https://www.youtube.com/watch?v=jwUOOWd1IIg
2016,Sing Alliance,Two Tickets Please,Participated,,https://www.youtube.com/watch?v=v2U4PYoX5zg
2016,Zeta Tau Alpha,We Have Awoken,Pigskin,Chandelier (Sia),https://www.youtube.com/watch?v=x0ryNq3AUSw
2017,Alpha Chi Omega & Pi Kappa Phi,,Pigskin,,
2017,Alpha Delta Pi,Swan's Shadow,Participated,,https://www.youtube.com/watch?v=z8tAPF64jRY
2017,Beta Theta Pi,Raiders of the Lost Act,Participated,,
2017,Chi Omega,Ice Ice Baby,3rd,,https://www.youtube.com/watch?v=vjZGQbUNoVU
2017,Delta Delta Delta,,Pigskin,,
2017,Delta Tau Delta,Firefighters,Participated,,https://www.youtube.com/watch?v=0W6SPTI4Xtg
2017,Kappa Alpha Theta,,Pigskin,,https://www.youtube.com/watch?v=cotzEHV_SiY
2017,Kappa Chi Alpha,How To Save a Life,Participated,,
2017,Kappa Kappa Gamma,,Pigskin,,https://www.youtube.com/watch?v=WeOqZpeB_o8
2017,Kappa Omega Tau,Bein' Green,1st,,https://www.youtube.com/watch?v=3wJgfL-nmps
2017,Kappa Sigma,Lewis & Clark: The Corps of Discovery,Participated,,https://www.youtube.com/watch?v=uAmrbj0fU1s
2017,Phi Gamma Delta,To Lands Beyond,Participated,,
2017,Phi Kappa Chi,Fool's Gold,2nd,,https://www.youtube.com/watch?v=fT910P1uzOM
2017,Pi Beta Phi,,Pigskin,,https://www.youtube.com/watch?v=3FQPWqLPch4
2017,Sigma Chi,Bear Bucks,Participated,,https://www.youtube.com/watch?v=YkGwXi71g08
